sep=; 
"codigo_comuna";"nombre_comuna";"codigo_provincia";"nombre_provincia";"codigo_region";"nombre_region";"region";"variable";"valor"
"08310";"San Rosendo";"083";"Biobio";"08";"Biobio";"VIII";"poblacion";3412
"08311";"Santa Barbara";"083";"Biobio";"08";"Biobio";"VIII";"poblacion";13773
"08312";"Tucapel";"083";"Biobio";"08";"Biobio";"VIII";"poblacion";14134
"08313";"Yumbel";"083";"Biobio";"08";"Biobio";"VIII";"poblacion";21198
"08314";"Alto Biobio";"083";"Biobio";"08";"Biobio";"VIII";"poblacion";5923
"09101";"Temuco";"091";"Cautin";"09";"La Araucania";"IX";"poblacion";282415
"09102";"Carahue";"091";"Cautin";"09";"La Araucania";"IX";"poblacion";24533
"09103";"Cunco";"091";"Cautin";"09";"La Araucania";"IX";"poblacion";17526
"09104";"Curarrehue";"091";"Cautin";"09";"La Araucania";"IX";"poblacion";7489
"09105";"Freire";"091";"Cautin";"09";"La Araucania";"IX";"poblacion";24606
"09106";"Galvarino";"091";"Cautin";"09";"La Araucania";"IX";"poblacion";11996
"09107";"Gorbea";"091";"Cautin";"09";"La Araucania";"IX";"poblacion";14414
"09108";"Lautaro";"091";"Cautin";"09";"La Araucania";"IX";"poblacion";38013
"09109";"Loncoche";"091";"Cautin";"09";"La Araucania";"IX";"poblacion";23612
"09110";"Melipeuco";"091";"Cautin";"09";"La Araucania";"IX";"poblacion";6138
"09111";"Nueva Imperial";"091";"Cautin";"09";"La Araucania";"IX";"poblacion";32510
"09112";"Padre las Casas";"091";"Cautin";"09";"La Araucania";"IX";"poblacion";76126
"09113";"Perquenco";"091";"Cautin";"09";"La Araucania";"IX";"poblacion";6905
"09114";"Pitrufquen";"091";"Cautin";"09";"La Araucania";"IX";"poblacion";24837
"09115";"Pucon";"091";"Cautin";"09";"La Araucania";"IX";"poblacion";28523
"09116";"Saavedra";"091";"Cautin";"09";"La Araucania";"IX";"poblacion";12450
"09117";"Teodoro Schmidt";"091";"Cautin";"09";"La Araucania";"IX";"poblacion";15045
"09118";"Tolten";"091";"Cautin";"09";"La Araucania";"IX";"poblacion";9722
"09119";"Vilcun";"091";"Cautin";"09";"La Araucania";"IX";"poblacion";28151
"09120";"Villarrica";"091";"Cautin";"09";"La Araucania";"IX";"poblacion";55478
"09121";"Cholchol";"091";"Cautin";"09";"La Araucania";"IX";"poblacion";11611
"09201";"Angol";"092";"Malleco";"09";"La Araucania";"IX";"poblacion";53262
"09202";"Collipulli";"092";"Malleco";"09";"La Araucania";"IX";"poblacion";24598
"09203";"Curacautin";"092";"Malleco";"09";"La Araucania";"IX";"poblacion";17413
"09204";"Ercilla";"092";"Malleco";"09";"La Araucania";"IX";"poblacion";7733
"09205";"Lonquimay";"092";"Malleco";"09";"La Araucania";"IX";"poblacion";10251
"09206";"Los Sauces";"092";"Malleco";"09";"La Araucania";"IX";"poblacion";7265
"09207";"Lumaco";"092";"Malleco";"09";"La Araucania";"IX";"poblacion";9548
"09208";"Puren";"092";"Malleco";"09";"La Araucania";"IX";"poblacion";11779
"09209";"Renaico";"092";"Malleco";"09";"La Araucania";"IX";"poblacion";10250
"09210";"Traiguen";"092";"Malleco";"09";"La Araucania";"IX";"poblacion";18843
"09211";"Victoria";"092";"Malleco";"09";"La Araucania";"IX";"poblacion";34182
"10101";"Puerto Montt";"101";"Llanquihue";"10";"Los Lagos";"X";"poblacion";245902
"10102";"Calbuco";"101";"Llanquihue";"10";"Los Lagos";"X";"poblacion";33985
