sep=; 
"url";"year";"month";"valor";"count";"site";"region";"provincia";"comuna";"coord_utm";"huso";"longitud";"latitud";"tecnica";"unidad";"pollutant"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2018;11;17.7777777777778;30;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2018;12;11.4151662049861;19;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2019;1;12.021409099577;8;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2019;2;10.9063617541878;28;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2019;3;12.1082281439925;31;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2019;4;11.5763888888889;30;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2019;5;13.0156486220652;31;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2019;6;13.2758359456635;29;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2019;7;9.96436919788953;31;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2019;8;9.10688405797101;31;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2019;9;10.0130502930353;29;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2019;10;11.1057737260402;31;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2019;11;10.9776881326693;28;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2019;12;12.2675899953249;31;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2020;1;9.36229612466494;29;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2020;2;11.6963029554563;27;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2020;3;10.7495992787017;31;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2020;4;12.4143225735617;30;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2020;5;14.0229397764461;31;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2020;6;12.5430163435598;30;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RXV/F01/Cal/PM25/PM25.horario.horario.ic&from=160101&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2020;7;13.207520613127;21;"Arica";"XV";"Arica";"Arica";"363747 E 7955831 N";19;-70.2905492243254;-18.4835271781409;"ATENUACIÓN BETA - THERMO 5014i";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RI/117/Cal/PM25/PM25.horario.horario.ic&from=160209&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2016;2;7.90173629501537;21;"Alto Hospicio";"I";"Iquique";"Alto Hospicio";"385118 E 7755989 N";19;-70.1002241937709;-20.2904990614563;"ATENUACION BETA- MET ONE 1020";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RI/117/Cal/PM25/PM25.horario.horario.ic&from=160209&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2016;3;8.55103042049173;31;"Alto Hospicio";"I";"Iquique";"Alto Hospicio";"385118 E 7755989 N";19;-70.1002241937709;-20.2904990614563;"ATENUACION BETA- MET ONE 1020";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RI/117/Cal/PM25/PM25.horario.horario.ic&from=160209&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2016;4;8.49361463509317;28;"Alto Hospicio";"I";"Iquique";"Alto Hospicio";"385118 E 7755989 N";19;-70.1002241937709;-20.2904990614563;"ATENUACION BETA- MET ONE 1020";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RI/117/Cal/PM25/PM25.horario.horario.ic&from=160209&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2016;5;12.6984567865188;31;"Alto Hospicio";"I";"Iquique";"Alto Hospicio";"385118 E 7755989 N";19;-70.1002241937709;-20.2904990614563;"ATENUACION BETA- MET ONE 1020";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RI/117/Cal/PM25/PM25.horario.horario.ic&from=160209&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2016;6;17.1066832622498;30;"Alto Hospicio";"I";"Iquique";"Alto Hospicio";"385118 E 7755989 N";19;-70.1002241937709;-20.2904990614563;"ATENUACION BETA- MET ONE 1020";"ug/m3";"mp2.5"
"https://sinca.mma.gob.cl/cgi-bin/APUB-MMA/apub.tsindico2.cgi?outtype=xcl&macro=./RI/117/Cal/PM25/PM25.horario.horario.ic&from=160209&to=200722&path=/usr/airviro/data/CONAMA/&lang=esp";2016;7;13.497649416819;31;"Alto Hospicio";"I";"Iquique";"Alto Hospicio";"385118 E 7755989 N";19;-70.1002241937709;-20.2904990614563;"ATENUACION BETA- MET ONE 1020";"ug/m3";"mp2.5"
